simulation_mode,simulation_id,config_id,plan,challenge_strategy,challenge_source_variant_name,challenge_leverage_factor,funded_strategy,funded_source_variant_name,funded_leverage_factor,attempts,first_attempt_pass,eventual_pass,avg_attempt_pass_proxy,resets,challenge_days_to_pass,challenge_days_total,challenge_timeout_count,last_challenge_status,last_challenge_failure_reason,funded_status,funded_failure_reason,funded_days,payouts,at_least_one_payout,realized_payout_value_usd,funded_profit_usd,subscription_cost_usd,reset_cost_usd,activation_fee_usd,total_cost_usd,net_profit_usd,total_days,net_profit_per_day
block_bootstrap_business,5,standard__nominal_x1.5__sizing_3state,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,7,False,True,0.14285714285714285,6,48.0,48,0,pass,,breach,trailing_drawdown,23,6,True,6000.0,3850.5,78.39999999999999,294.0,149.0,521.4,5478.6,71,77.16338028169015
block_bootstrap_business,6,standard__nominal_x1.5__sizing_3state,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,11.0,11,0,pass,,breach,trailing_drawdown,22,2,True,2000.0,549.0,17.966666666666665,0.0,149.0,166.96666666666667,1833.0333333333333,33,55.54646464646464
block_bootstrap_business,7,standard__nominal_x1.5__sizing_3state,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,3,False,True,0.3333333333333333,2,21.0,21,0,pass,,survived,,60,2,True,2000.0,2829.0,34.3,98.0,149.0,281.3,1718.7,81,21.21851851851852
block_bootstrap_business,8,standard__nominal_x1.5__sizing_3state,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,4,False,True,0.25,3,22.0,22,0,pass,,breach,trailing_drawdown,41,2,True,2000.0,298.5,35.93333333333334,147.0,149.0,331.93333333333334,1668.0666666666666,63,26.477248677248678
block_bootstrap_business,9,standard__nominal_x1.5__sizing_3state,standard,nominal_x1.5,nominal,1.5,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,4,False,True,0.25,3,34.0,34,0,pass,,survived,,60,10,True,10000.0,10913.5,55.53333333333333,147.0,149.0,351.5333333333333,9648.466666666667,94,102.64326241134752
block_bootstrap_business,0,standard__nominal_x1.5__sizing_3state_x1.2,standard,nominal_x1.5,nominal,1.5,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,15.0,15,0,pass,,survived,,60,7,True,7000.0,7333.200000000004,24.5,0.0,149.0,173.5,6826.5,75,91.02
block_bootstrap_business,1,standard__nominal_x1.5__sizing_3state_x1.2,standard,nominal_x1.5,nominal,1.5,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2,False,True,0.5,1,13.0,13,0,pass,,breach,trailing_drawdown,10,0,False,0.0,-1431.5999999999985,21.23333333333333,49.0,149.0,219.23333333333335,-219.23333333333335,23,-9.531884057971014
block_bootstrap_business,2,standard__nominal_x1.5__sizing_3state_x1.2,standard,nominal_x1.5,nominal,1.5,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,3,False,True,0.3333333333333333,2,14.0,14,0,pass,,breach,trailing_drawdown,26,0,False,0.0,-1842.5999999999913,22.866666666666667,98.0,149.0,269.8666666666667,-269.8666666666667,40,-6.746666666666667
block_bootstrap_business,3,standard__nominal_x1.5__sizing_3state_x1.2,standard,nominal_x1.5,nominal,1.5,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,4,False,True,0.25,3,24.0,24,0,pass,,breach,trailing_drawdown,45,3,True,3000.0,1128.0,39.2,147.0,149.0,335.2,2664.8,69,38.620289855072464
block_bootstrap_business,4,standard__nominal_x1.5__sizing_3state_x1.2,standard,nominal_x1.5,nominal,1.5,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,3,False,True,0.3333333333333333,2,14.0,14,0,pass,,survived,,60,5,True,5000.0,4547.400000000009,22.866666666666667,98.0,149.0,269.8666666666667,4730.133333333333,74,63.920720720720716
block_bootstrap_business,5,standard__nominal_x1.5__sizing_3state_x1.2,standard,nominal_x1.5,nominal,1.5,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,4,False,True,0.25,3,40.0,40,0,pass,,breach,trailing_drawdown,33,6,True,6000.0,3914.4000000000087,65.33333333333334,147.0,149.0,361.33333333333337,5638.666666666667,73,77.2420091324201
