phase,symbol,config_name,detail,seconds
backtest/evaluation,M2K,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_3,,7.227825899841264
writing_exports,M2K,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_3,checkpoint,7.386354499962181
backtest/evaluation,M2K,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_5,,6.877169500105083
writing_exports,M2K,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_5,checkpoint,7.468311400152743
backtest/evaluation,M2K,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,,7.107920099981129
writing_exports,M2K,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,checkpoint,7.632698900066316
backtest/evaluation,M2K,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_3,,6.916864800034091
writing_exports,M2K,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_3,checkpoint,7.591168800136074
backtest/evaluation,M2K,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_5,,7.09509740001522
writing_exports,M2K,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_5,checkpoint,7.779550299979746
backtest/evaluation,M2K,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_5,,7.34332129987888
writing_exports,M2K,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_5,checkpoint,7.860754700144753
backtest/evaluation,M2K,invalidate_on_opposite_close_5m__buffer_0,,6.981049499940127
writing_exports,M2K,invalidate_on_opposite_close_5m__buffer_0,checkpoint,8.04716660012491
backtest/evaluation,M2K,invalidate_on_opposite_close_5m__buffer_1,,6.932034899946302
writing_exports,M2K,invalidate_on_opposite_close_5m__buffer_1,checkpoint,8.16682770010084
backtest/evaluation,M2K,invalidate_on_opposite_close_5m__buffer_4,,7.360883200075477
writing_exports,M2K,invalidate_on_opposite_close_5m__buffer_4,checkpoint,8.061045699985698
backtest/evaluation,M2K,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,,11.056515899952501
writing_exports,M2K,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,checkpoint,8.277859299909323
