session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,equity,peak_equity,drawdown_usd,drawdown_pct,green_day,variant_name,family,selected_by_ensemble,policy_allows_trading,risk_multiplier,policy_reason,trade_executed,state_pre_json,state_post_json
2022-11-07,0.0,0.0,0.0,0.0,0.0,50764.0,55936.5,-5172.5,0.0924709268545583,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50764.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}","{""equity"": 50764.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}"
2022-11-08,-329.0,-324.0,5.0,1.0,1.0,50435.0,55936.5,-5501.5,0.09835259624753068,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50764.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}","{""equity"": 50435.0, ""last_daily_pnl"": -329.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-09,485.0,490.0,5.0,1.0,0.0,50920.0,55936.5,-5016.5,0.08968205018190269,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50435.0, ""last_daily_pnl"": -329.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50920.0, ""last_daily_pnl"": 485.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-10,0.0,0.0,0.0,0.0,0.0,50920.0,55936.5,-5016.5,0.08968205018190269,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,False,"{""equity"": 50920.0, ""last_daily_pnl"": 485.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50920.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}"
2022-11-11,0.0,0.0,0.0,0.0,0.0,50920.0,55936.5,-5016.5,0.08968205018190269,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 50920.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}","{""equity"": 50920.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}"
2022-11-14,-143.0,-138.0,5.0,1.0,1.0,50777.0,55936.5,-5159.5,0.09223852046517032,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50920.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}","{""equity"": 50777.0, ""last_daily_pnl"": -143.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-15,71.5,74.0,2.5,1.0,0.0,50848.5,55936.5,-5088.0,0.0909602853235365,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50777.0, ""last_daily_pnl"": -143.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50848.5, ""last_daily_pnl"": 71.5, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-16,-7.5,-5.0,2.5,1.0,1.0,50841.0,55936.5,-5095.5,0.0910943659327988,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50848.5, ""last_daily_pnl"": 71.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50841.0, ""last_daily_pnl"": -7.5, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-17,108.5,111.0,2.5,1.0,0.0,50949.5,55936.5,-4987.0,0.0891546664521377,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50841.0, ""last_daily_pnl"": -7.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50949.5, ""last_daily_pnl"": 108.5, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-18,37.5,40.0,2.5,1.0,0.0,50987.0,55936.5,-4949.5,0.08848426340582626,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50949.5, ""last_daily_pnl"": 108.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 50987.0, ""last_daily_pnl"": 37.5, ""peak_equity"": 55936.5, ""traded"": true}"
2022-11-21,128.0,133.0,5.0,1.0,0.0,51115.0,55936.5,-4821.5,0.0861959543410832,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 50987.0, ""last_daily_pnl"": 37.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51115.0, ""last_daily_pnl"": 128.0, ""peak_equity"": 55936.5, ""traded"": true}"
