q_low_pct,q_high_pct,atr_count,median_overall_composite_score,mean_overall_composite_score,median_overall_sharpe,mean_overall_sharpe,median_overall_profit_factor,mean_overall_profit_factor,median_overall_net_pnl,mean_overall_net_pnl,median_overall_max_drawdown_abs,mean_overall_max_drawdown_abs,best_atr_by_score,best_overall_composite_score
24,87,7,-4.024803235270358,-4.044654743919154,-0.4366404154904776,-0.4268790092678615,0.8996241229251501,0.9019086169663912,-29454.999999982152,-28991.2857142682,48385.49999998568,49635.07142855749,30,-3.8120106143113075
24,88,7,-4.086949447141439,-4.065021823978599,-0.44796410507383394,-0.43563990330155405,0.8982847010370203,0.9010331706840226,-30574.499999981796,-29862.928571410826,47973.49999998648,49725.4285714143,20,-3.847298034009337
24,89,7,-4.014812855529608,-4.022602436007706,-0.4236917020026491,-0.425791868429328,0.9042220832236535,0.9041548065456555,-29093.49999998171,-29483.571428553416,49488.999999985615,50308.785714271165,20,-3.8011161740453905
24,90,7,-3.948668974797698,-3.990515645587482,-0.4026495554481918,-0.4101745831983847,0.909845685720551,0.9085435026706276,-27998.999999981534,-28750.999999981723,49277.49999998534,48735.85714284216,30,-3.639122509217439
24,91,7,-3.9941989588298115,-4.081709640047451,-0.4042779288907245,-0.4442182311529931,0.9105264063656808,0.9022536074141245,-28594.999999981243,-31396.071428552892,48585.49999998511,49586.42857141335,40,-3.932735593990418
24,92,7,-4.099528469501352,-4.104882654573258,-0.45440758579818535,-0.45235681170731423,0.9011920602477939,0.9016595432592042,-32408.49999998152,-32371.642857124072,49712.499999985164,49559.99999998462,30,-3.9070460157650078
24,93,7,-3.990991940184999,-3.9889507529703985,-0.4168022328736588,-0.4149280160229053,0.9095478221986423,0.910070081535013,-29937.499999980886,-29947.928571409597,49875.99999998466,49551.71428569907,30,-3.74850462757955
24,94,7,-3.921609234093578,-3.902262713191152,-0.39270575496275834,-0.3840294251245413,0.9152459887177187,0.9171236241754505,-28560.99999998098,-27957.71428569508,47252.999999984844,48480.35714284222,30,-3.662250964774405
24,95,7,-3.73708555854501,-3.7931790352254,-0.3299152009729437,-0.3503808532284321,0.928850334939529,0.9246227669108225,-24216.499999980904,-25697.14285712351,48912.99999998433,48571.49999998467,30,-3.586563028207809
24,96,7,-3.638807724718391,-3.637916393677803,-0.3043401535117934,-0.305704045541063,0.9345573526807898,0.9345029801319932,-22540.99999998055,-22651.07142855191,48156.999999984095,48839.07142855644,30,-3.2863010053391855
24,97,7,-3.6056108409853196,-3.6331514248737307,-0.30399303850839426,-0.3074375459837162,0.9354491930259754,0.9346365802316614,-22667.49999998014,-22938.857142837533,48838.999999983906,49849.142857127415,30,-3.4328132455815785
24,98,7,-3.5560228483709455,-3.526761545841146,-0.2844702913942386,-0.2786810598382242,0.9396200881197195,0.9409904942237898,-21371.49999998032,-20939.785714266058,49882.99999998568,50791.49999998435,30,-3.2054444066552383
24,99,7,-3.4111338612048887,-3.3974668334013245,-0.2496796403324366,-0.24243199253821102,0.9472168973338645,0.9488287441486402,-18792.49999998013,-18329.28571426599,50646.99999998363,51096.42857141214,30,-3.073530197677561
24,100,7,-3.3835679430437895,-3.408972853079831,-0.2379713321988973,-0.24790275304756992,0.9498923704119528,0.9480021761700703,-18098.499999979937,-18842.071428551302,50763.99999998316,51636.857142840316,30,-3.145812330889885
25,70,7,-5.014862582884513,-4.990605968434173,-0.8014936467362201,-0.7964102932303535,0.7862202001820345,0.7882871895246171,-44051.99999998748,-43491.214285701506,51490.499999989035,48812.357142845736,60,-4.673768874373689
25,71,7,-4.943674968147034,-4.947580120327899,-0.7561508364087954,-0.7683332117662592,0.7993654410923895,0.7973476671513147,-42083.49999998719,-42511.571428558374,50208.99999998919,48241.71428570251,30,-4.665740126012788
25,72,7,-4.891658035780498,-4.901011315301597,-0.7314912455890579,-0.7335521258826861,0.8066970181660634,0.8081037461547996,-40908.999999986874,-41269.428571415236,48105.49999998916,46889.21428570244,40,-4.666387165378603
25,73,7,-4.756000981475445,-4.746401768513572,-0.6405775706337498,-0.660710780859246,0.8305391017993858,0.8280361847213212,-36433.499999986656,-37619.99999998639,43986.99999998907,44572.214285702525,30,-4.333032698989493
25,74,7,-4.560509534197069,-4.6649360020549295,-0.5555051328617685,-0.630057292360477,0.8531344088232756,0.8374150820051335,-32145.499999986427,-36395.99999998611,43375.999999989,45076.142857131774,30,-4.2985792163142555
25,75,7,-4.5423902602692525,-4.53962367109924,-0.5575007536551481,-0.5750623643453984,0.8546450413067976,0.8520475246225144,-32787.49999998611,-33695.571428557334,42847.99999998884,44001.78571427419,30,-4.025400064116262
25,76,7,-4.449070117171795,-4.444530950589398,-0.47116643169246225,-0.5261422128343558,0.876695970436335,0.8649478811675414,-27827.499999985812,-31279.285714271387,38800.999999988606,42865.49999998828,30,-4.034987004082715
25,77,7,-4.478648971921226,-4.37276895167163,-0.5023752988542279,-0.4958760114601429,0.8704149167176508,0.8733454936035517,-29897.999999985586,-29772.57142855686,36689.99999998837,41737.49999998823,30,-3.878306142893833
25,78,7,-4.501621873743839,-4.372189848195978,-0.5701284561580001,-0.5014069029251006,0.8567611767364411,0.8731759223474508,-34552.99999998532,-30408.642857128056,41526.49999998793,42832.78571427393,30,-4.010085991028303
25,79,7,-4.402301034994215,-4.270847862646869,-0.5361346516359076,-0.4696284715414866,0.8675272715657553,0.8822684147472062,-33176.999999984466,-28843.499999984902,43762.99999998787,42147.35714284536,40,-3.7565085386845025
25,80,7,-4.406273246421137,-4.289723983852093,-0.5302028717702464,-0.4857494313100042,0.8701173799133995,0.8799030553800276,-33289.49999998459,-30236.71428569897,45061.999999987725,44588.42857141695,40,-3.7614334669755234
