variant_name,session_date,signal_time,signal_index,state_pre,state_post,policy_multiplier,allowed_to_trade,blocked_reason,trade_executed,quantity,trade_number_in_day,exit_reason,overlay_exit_reason,net_pnl_usd,net_pnl_r
giveback_after_1p25r__0p5r,2022-06-30,2022-06-30 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,stop,,-395.74,-1.0
giveback_after_1p25r__0p5r,2022-07-01,2022-07-01 10:37:00-04:00,637,neutral,neutral,1.0,True,,True,1,1,stop,,-370.24,-1.0
giveback_after_1p25r__0p5r,2022-07-05,2022-07-05 10:32:00-04:00,632,neutral,neutral,1.0,True,,True,1,1,target,,534.26,1.9806480314376806
giveback_after_1p25r__0p5r,2022-07-06,2022-07-06 14:06:00-04:00,846,neutral,neutral,1.0,True,,True,1,1,time_exit,,-0.24,-0.0008963920221110031
giveback_after_1p25r__0p5r,2022-07-07,2022-07-07 10:47:00-04:00,647,neutral,neutral,1.0,True,,True,1,1,time_exit,,152.26,0.539469954648526
giveback_after_1p25r__0p5r,2022-07-08,2022-07-08 10:25:00-04:00,625,neutral,neutral,1.0,True,,True,1,1,time_exit,,131.76,0.5722724113968033
giveback_after_1p25r__0p5r,2022-07-12,2022-07-12 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,time_exit,,93.76,0.22882803729194123
giveback_after_1p25r__0p5r,2022-07-14,2022-07-14 10:01:00-04:00,601,neutral,neutral,1.0,True,,True,1,1,stop,,-307.24,-1.0
giveback_after_1p25r__0p5r,2022-07-15,2022-07-15 11:14:00-04:00,674,neutral,neutral,1.0,True,,True,1,1,time_exit,,35.26,0.1307184696374286
giveback_after_1p25r__0p5r,2022-07-19,2022-07-19 10:27:00-04:00,627,neutral,neutral,1.0,True,,True,1,1,target,,362.26,1.9715902906280613
giveback_after_1p25r__0p5r,2022-07-20,2022-07-20 10:23:00-04:00,623,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,218.76,1.0870602265951101
giveback_after_1p25r__0p5r,2022-07-22,2022-07-22 10:00:00-04:00,600,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,295.76,1.0824183867662127
giveback_after_1p25r__0p5r,2022-07-25,2022-07-25 10:06:00-04:00,606,neutral,neutral,1.0,True,,True,1,1,time_exit,,-37.74,-0.199429296131896
giveback_after_1p25r__0p5r,2022-07-26,2022-07-26 10:20:00-04:00,620,neutral,neutral,1.0,True,,True,1,1,time_exit,,173.26,0.8567049050632911
giveback_after_1p25r__0p5r,2022-07-27,2022-07-27 10:05:00-04:00,605,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,400.76,1.4377556145511945
giveback_after_1p25r__0p5r,2022-07-28,2022-07-28 10:32:00-04:00,632,neutral,neutral,1.0,True,,True,1,1,stop,,-404.24,-1.0
giveback_after_1p25r__0p5r,2022-07-29,2022-07-29 10:02:00-04:00,602,neutral,neutral,1.0,True,,True,1,1,time_exit,,153.26,0.4932097573534144
giveback_after_1p25r__0p5r,2022-08-01,2022-08-01 10:05:00-04:00,605,neutral,neutral,1.0,True,,True,1,1,time_exit,,-125.74,-0.35445678525116986
giveback_after_1p25r__0p5r,2022-08-02,2022-08-02 10:09:00-04:00,609,neutral,neutral,1.0,True,,True,1,1,stop,,-214.74,-1.0
giveback_after_1p25r__0p5r,2022-08-03,2022-08-03 10:03:00-04:00,603,neutral,neutral,1.0,True,,True,1,1,time_exit,,240.26,0.7756828307612836
giveback_after_1p25r__0p5r,2022-08-04,2022-08-04 10:18:00-04:00,618,neutral,neutral,1.0,True,,True,1,1,stop,,-201.74,-1.0
giveback_after_1p25r__0p5r,2022-08-05,2022-08-05 10:03:00-04:00,603,neutral,neutral,1.0,True,,True,1,1,stop,,-227.24,-1.0
